run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p
exact_quartic_n20_p0.8,4V-FB,42,4,True,False,19,0.04851935517061453,0.4619485798512441,-1,-0.0050861036579261665,3.867214817909057e-12,2.6564508562627155e-13,False,False,2.5510000114081777e-05,9.22000003811263e-06,5.008000016459846e-05,exact,quartic,20,0.8
exact_quartic_n20_p0.8,4V-FB,46,8,True,False,19,0.048519355578300685,0.4619485798512441,-1,-0.005086101793108089,3.867214817909057e-12,2.6564508562627155e-13,False,False,2.6220000108878594e-05,9.419999969395576e-06,5.140000007486378e-05,exact,quartic,20,0.8
exact_quartic_n20_p0.8,4V-FB,52,14,False,True,19,0.048519355601165534,0.4619485798512441,-1,-0.005086101688521083,3.867214817909057e-12,2.6564508562627155e-13,False,False,2.6019999950221973e-05,9.249999948224286e-06,5.066000016995531e-05,exact,quartic,20,0.8
exact_quartic_n50_p0.3,4V-FB,1,1,True,False,50,3.108624468950974e-18,0.6185064075575528,1,0.00033142574821187765,5.4418584730113896e-27,5.074750830564784e-13,True,True,8.636000006845279e-05,1.0609999890220934e-05,0.00011732000007214083,exact,quartic,50,0.3
exact_quartic_n50_p0.3,4V-FB,23,1,True,False,49,0.1541850455622512,0.6185064075575528,-1,-0.02918933247780675,5.4418584730113896e-27,5.018575069269831e-13,True,False,7.234999998217972e-05,1.0980000070048845e-05,0.00010178999991694582,exact,quartic,50,0.3
exact_quartic_n50_p0.3,4V-FB,24,2,True,False,49,0.15418504637399522,0.6185064075575528,-1,-0.02918931974267469,5.4418584730113896e-27,5.018575069269826e-13,True,False,6.11399998433626e-05,9.770000133357826e-06,8.740999987821851e-05,exact,quartic,50,0.3
exact_quartic_n50_p0.3,4V-FB,26,4,True,False,49,0.15418504698714758,0.6185064075575528,-1,-0.029189310123165058,5.4418584730113896e-27,5.018575069269826e-13,True,False,5.547999990085373e-05,9.890000001178123e-06,8.114000002024113e-05,exact,quartic,50,0.3
exact_quartic_n50_p0.3,4V-FB,30,8,True,False,49,0.15418504718122658,0.6185064075575528,-1,-0.02918930707833578,5.4418584730113896e-27,5.018575069269825e-13,True,False,5.503000011231052e-05,9.800000043469481e-06,8.069999989857024e-05,exact,quartic,50,0.3
exact_quartic_n50_p0.3,4V-FB,37,15,False,True,49,0.15418504719435572,0.6185064075575528,-1,-0.029189306872357434,5.4418584730113896e-27,5.018575069269825e-13,True,False,5.407000003287976e-05,9.829999953581137e-06,7.950999997774488e-05,exact,quartic,50,0.3
exact_quartic_n50_p0.5,4V-FB,1,1,True,False,50,-1.1657341758563724e-17,0.5628085996530688,1,0.00021411386068859173,3.4335086163258816e-18,5.277777777777777e-13,True,True,8.520999995198508e-05,1.0109999948326731e-05,0.00011530999995557067,exact,quartic,50,0.5
exact_quartic_n50_p0.5,4V-FB,24,1,True,False,49,0.1155337120382606,0.5628085996530688,-1,-0.01802561030644423,3.4335086163258816e-18,5.243736755405836e-13,True,False,6.934999987606716e-05,1.0000000202126103e-05,9.672999999565945e-05,exact,quartic,50,0.5
exact_quartic_n50_p0.5,4V-FB,25,2,True,False,49,0.11553371337173662,0.5628085996530688,-1,-0.018025598920752728,3.4335086163258816e-18,5.243736755405829e-13,True,False,5.885999985366652e-05,9.079999927052995e-06,8.367000009457115e-05,exact,quartic,50,0.5
exact_quartic_n50_p0.5,4V-FB,27,4,True,False,49,0.11553371435028137,0.5628085996530688,-1,-0.018025590565589056,3.4335086163258816e-18,5.243736755405828e-13,True,False,5.4589999990639626e-05,9.319999890067265e-06,8.612999999968451e-05,exact,quartic,50,0.5
exact_quartic_n50_p0.5,4V-FB,31,8,True,False,49,0.11553371464432122,0.5628085996530688,-1,-0.018025588054969788,3.4335086163258816e-18,5.243736755405828e-13,True,False,5.51000000541535e-05,9.28999997995561e-06,7.953999988785654e-05,exact,quartic,50,0.5
exact_quartic_n50_p0.5,4V-FB,37,14,False,True,49,0.11553371466234529,0.5628085996530688,-1,-0.018025587901076,3.4335086163258816e-18,5.243736755405828e-13,True,False,5.4559999853154295e-05,9.110000064538326e-06,7.877000007283641e-05,exact,quartic,50,0.5
exact_quartic_n50_p0.8,4V-FB,1,1,True,False,50,-1.2989609388114163e-17,0.4619485798512441,1,4.2115623264393776e-05,4.026115549822024e-14,6.666666666666668e-13,True,True,8.567999998376763e-05,1.0819999943123548e-05,0.00011648999998215004,exact,quartic,50,0.8
exact_quartic_n50_p0.8,4V-FB,39,1,True,False,49,0.04851935174140603,0.4619485798512441,-1,-0.00508611934363401,4.026115549822024e-14,6.656450856262731e-13,True,False,7.173000017246522e-05,1.0799999927257886e-05,0.00010102000010192569,exact,quartic,50,0.8
exact_quartic_n50_p0.8,4V-FB,40,2,True,False,49,0.04851935374293539,0.4619485798512441,-1,-0.005086110188344151,4.026115549822024e-14,6.656450856262719e-13,True,False,6.827000015618978e-05,1.053000005413196e-05,9.5930000043154e-05,exact,quartic,50,0.8
exact_quartic_n50_p0.8,4V-FB,42,4,True,False,49,0.04851935517061453,0.4619485798512441,-1,-0.005086103657927055,4.026115549822024e-14,6.656450856262716e-13,True,False,5.636999981106783e-05,9.999999974752427e-06,8.238999998866348e-05,exact,quartic,50,0.8
exact_quartic_n50_p0.8,4V-FB,46,8,True,False,49,0.048519355578300685,0.4619485798512441,-1,-0.005086101793109421,4.026115549822024e-14,6.656450856262715e-13,True,False,5.4319999890140025e-05,9.81000016508915e-06,8.005000017874409e-05,exact,quartic,50,0.8
exact_quartic_n50_p0.8,4V-FB,52,14,False,True,49,0.048519355601165534,0.4619485798512441,-1,-0.005086101688521971,4.026115549822024e-14,6.656450856262715e-13,True,False,5.4760000011810916e-05,9.920000138663454e-06,8.035999985622766e-05,exact,quartic,50,0.8
